company_name,website_visits_score,activity_level
Kremer BV 's Heerenberg,10,GROEN
Van der Valk Business,3,ROOD
STEBOMA,4,ORANJE
Anton Groep,4,ORANJE
PepsiCo,8,GROEN
PepsiCo,10,GROEN
Ship Install,3,ROOD
Sanitair Installatie Hoogendoorn BV,8,GROEN
Loohuis-Meulenbeld Installatietechnieken B.V.,6,ORANJE
Electro-Techniek Van Hees,1,ROOD
Worrell & Jetten Accountants en Adviseurs,1,ROOD
Koninklijke Damstra Installatiegroep,1,ROOD
Telindus,1,ROOD
Bouwbedrijf L. van de Ven BV,1,ROOD
vdBuijsInstall,10,GROEN
Vink Installatie Groep B.V.,1,ROOD
Climat Systems Brabant,1,ROOD
PepsiCo,3,ROOD
Duurzaam Opgewekt,10,GROEN
Sandee Groen,4,ORANJE
WETEC,1,ROOD
LOTEC B.V.,1,ROOD
Ebert HERA,1,ROOD
BEAK Holding,3,ROOD
Acto Informatisering,1,ROOD
DENIOS,4,ORANJE
Installatieburo Eval,1,ROOD
Kollect,3,ROOD
ETB A.Hogenes B.V.,4,ORANJE
Get There,6,ORANJE
Brusche Elektrotechniek,10,GROEN
VHI Koudetechniek B.V.,1,ROOD
Kemkens,3,ROOD
Automatic Signal,1,ROOD
Roodenburg Installatie Bedrijf,10,GROEN
Warpnet,1,ROOD
Lindeloof B.V.,1,ROOD
Olof Schuur,1,ROOD
Visser & Visser,1,ROOD
Omnivent - Storage Made Easy,1,ROOD
Monkey Vision,1,ROOD
Ploeg kozijnen,4,ORANJE
B2B Office Solutions,1,ROOD
Van Delft Groep,8,GROEN
KPI Solutions,1,ROOD
Oegema Logistics+,1,ROOD
NIBHV,1,ROOD
Van der Heijden bouw en ontwikkeling,6,ORANJE
Advanced Separation Company,1,ROOD
Freelance.nl,1,ROOD
Enshore,1,ROOD
Technoberg,1,ROOD
Modderkolk Projects & Maintenance BV,10,GROEN
Bol Adviseurs,1,ROOD
Technisch buro Pola B.V.,1,ROOD
In Summa,1,ROOD
DTX | Dutch Technology eXperts,1,ROOD
Verkoelen Dakspecialisten: Mens Dak Duurzaam,1,ROOD
T & S Klimaattechniek,10,GROEN
DWT installatiegroep BV,3,ROOD
TUeCursor,10,GROEN
KTI Installatietechniek,3,ROOD
Aragorn ICT Dienstverlening,6,ORANJE
Jacobs Elektro Group,1,ROOD
(Cambridge Innovation Center),1,ROOD
Klomp,3,ROOD
Van den Broek Systemen,1,ROOD
SAP,1,ROOD
OBI automatisering,1,ROOD
9altitudes,1,ROOD
Technisch Buro T.O.M.,8,GROEN
Funk-e,1,ROOD
THE FWD CO.,1,ROOD
I-care Group,1,ROOD
Van Gerwen Installaties,8,GROEN
WL Techniek,1,ROOD
Visser ATR,1,ROOD
Van de Klok,1,ROOD
MD Service B.V.,3,ROOD
VMB security & solutions,10,GROEN
DO & Co. München,1,ROOD
Spot ICT Oplossingen,1,ROOD
Damen,1,ROOD
Bruxelles-Propreté | Net Brussel,1,ROOD
BigBrother International,1,ROOD
Technisch Installatiebedrijf Tibo-Veen,1,ROOD
Prodware,1,ROOD
HighQ,1,ROOD
Van Dorp,3,ROOD
Easyfairs,1,ROOD
Bitcom,1,ROOD
Voskamp Groep B.V.,4,ORANJE
Livingprojects,1,ROOD
Klimaatservice Holland B.V.,1,ROOD
Van den Pol Elektrotechniek,1,ROOD
RIVM National Institute for Public Health and the Environment,3,ROOD
Media Markt - Saturn Nederland,6,ORANJE
Bisharp,1,ROOD
Maas-Intersales,1,ROOD
Future Growth,1,ROOD
Notifica,8,GROEN
Notifica,10,GROEN
Jules Goossens Bliksembeveiliging,1,ROOD
DMN-WESTINGHOUSE,1,ROOD
BVIntersell,1,ROOD
Van de Velde Installatiegroep,1,ROOD
MediaService Maastricht,1,ROOD
Carool Installatiebedrijf,1,ROOD
First Information & Technology Solutions,1,ROOD
Seven-Winds,3,ROOD
Lasaulec BV,1,ROOD
Instacom,10,GROEN
M&O Techniek BV,1,ROOD
Staal Dekker en Ronday Electrotechniek,8,GROEN
4PS,1,ROOD
Randstad,1,ROOD
Stoneridge,1,ROOD
Braanker Logistics,1,ROOD
Bonheur Horeca Groep,1,ROOD
Eyeworks Switzerland GmbH,1,ROOD
FutureRange,1,ROOD
Hatenboer-Water,1,ROOD
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond,1,ROOD
ECI Software Solutions,1,ROOD
Waterschap Drents Overijsselse Delta,1,ROOD
Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant,1,ROOD
Xantion,4,ORANJE
vzw Jong,1,ROOD
Martens beton,1,ROOD
V.D.B. Automatisering,1,ROOD
PCT Refrigeration,4,ORANJE
Gemeente Wierden,1,ROOD
Linthorst,1,ROOD
Wolfsenwolfs.Nl,1,ROOD
Inceptum.Nu,1,ROOD
Jkelnerlaw.Com,3,ROOD
THE FWD CO.,1,ROOD
Zondervan Groep,1,ROOD
Voshol Warmte en Elektrotechniek,1,ROOD
Batenburg Techniek N.V.,1,ROOD
Ctrack UK & Ireland,4,ORANJE
Mobilis TBI,6,ORANJE
DKC totaaltechniek B.V.,1,ROOD
"Ministerie van Onderwijs, Cultuur en Wetenschappen",1,ROOD
Accountants Adviseurs Blomer,1,ROOD
Mampaey installatie bedrijven,1,ROOD
Brainport Eindhoven,1,ROOD
Exclaimer,1,ROOD
Haskoning,1,ROOD
GVB,1,ROOD
Ymere,1,ROOD
Waterschap Reest En Wieden,1,ROOD
Samenwerking A2-gemeenten,1,ROOD
Strukton,1,ROOD
Deltacom kantoorautomatisering,1,ROOD
Fontys University of Applied Sciences,1,ROOD
Linklaters,1,ROOD
Paree B.V.,1,ROOD
Royal Jaarbeurs,1,ROOD
New York University,1,ROOD
gemeente Smallingerland,1,ROOD
Gemeente Veldhoven,1,ROOD
Texas Capital Securities,1,ROOD
Volker Wessels,1,ROOD
JWR Elektrotechniek,1,ROOD
Voya Financial,1,ROOD
Southend-on-Sea City Council,1,ROOD
Nederlands Instituut Fysieke Veiligheid,1,ROOD
Inflexion,1,ROOD
Waterschap Brabantse Delta,1,ROOD
Inflexion,1,ROOD
Rijksmuseum,1,ROOD
Volvo Group,1,ROOD
Royal BAM Group,1,ROOD
De Huismeesters,1,ROOD
Stichting De Nederlandse School voor Onderwijsmanagement,1,ROOD
Wasco,1,ROOD
ULC Groep,1,ROOD
Deltion College,1,ROOD
Shoeby,1,ROOD
AllSolutions,1,ROOD
Onecom,1,ROOD
Bogro Snelrewaard BV,1,ROOD
Agriband,1,ROOD
Laurens,1,ROOD
Van Raam,1,ROOD
Prime Vision,1,ROOD
Lightronics,1,ROOD
Alliander,1,ROOD
Veld Koeltechniek,1,ROOD
"Rozet | taal, kunst en erfgoed",1,ROOD
TANATEX Chemicals,1,ROOD
BNP Paribas,1,ROOD
Nijhof Groep,1,ROOD
Slagboom Vlaardingen Elektrotechniek,1,ROOD
Eurofiber,1,ROOD
KLM Royal Dutch Airlines,1,ROOD
Herwers BV,1,ROOD
Klimaatgroep Holland,3,ROOD
Vooruit - IT in beweging,3,ROOD
Clone Systems,3,ROOD
Solarlux,3,ROOD
Piet Brouwer Elektrotechniek,3,ROOD
Lassche & Keizer,3,ROOD
A B & T,3,ROOD
Huisman & van Muijen,3,ROOD
TNO,4,ORANJE
Deltares,4,ORANJE
A. de Jong Groep,6,ORANJE
Nagarro,6,ORANJE
Datasource Background Screening,8,GROEN
K3,8,GROEN
BLR-Bimon,8,GROEN
Taxameter Centrale,8,GROEN
Ovimex,8,GROEN
Focus Solutions,1,ROOD
CoffeeX,1,ROOD
Peak Development Group,1,ROOD
VINCI Energies NL,1,ROOD
THE FWD CO.,1,ROOD
Zuid-Nederlands Installatiebedrijf Z.N.I.,1,ROOD
Saman Groep,1,ROOD
Instain installatietechniek,4,ORANJE
Vesting Groep Materieel,10,GROEN
Bravo Beveiliging B.V.,1,ROOD
CC Group,1,ROOD
