company_name,location_info,last_visit,days_ago,website_visits_score,activity_level
Kremer BV 's Heerenberg,"'s-Heerenberg, Netherlands | IT Services and IT Consulting",2 dagen geleden,2,10,GROEN
Van der Valk Business,"Voorschoten, Netherlands | Hospitality",1 maand geleden,30,3,ROOD
STEBOMA,"Beverwijk, Netherlands",21 dagen geleden,21,4,ORANJE
Anton Groep,"Obdam, Netherlands",21 dagen geleden,21,4,ORANJE
PepsiCo,"Purchase, United States of America | Technology, Information and Internet",6 dagen geleden,6,8,GROEN
PepsiCo,"Oslo, Norway | Technology, Information and Internet",2 dagen geleden,2,10,GROEN
Ship Install,"Heusden, Netherlands | Shipbuilding",29 dagen geleden,29,3,ROOD
Sanitair Installatie Hoogendoorn BV,"Woerden, Netherlands | Construction",7 dagen geleden,7,8,GROEN
Loohuis-Meulenbeld Installatietechnieken B.V.,"Enschede, Netherlands | Construction",8 dagen geleden,8,6,ORANJE
Electro-Techniek Van Hees,"Tilburg, Netherlands | Construction",6 maanden geleden,180,1,ROOD
Worrell & Jetten Accountants en Adviseurs,"Zoetermeer, Netherlands | Financial Services",4 maanden geleden,120,1,ROOD
Koninklijke Damstra Installatiegroep,"Driezum, Netherlands | Construction",11 maanden geleden,330,1,ROOD
Telindus,"Utrecht, Netherlands",2 maanden geleden,60,1,ROOD
Bouwbedrijf L. van de Ven BV,"Veghel, Netherlands | Construction",3 maanden geleden,90,1,ROOD
vdBuijsInstall,"Zundert, Netherlands | Appliances, Electrical, and Electronics Manufacturing",2 dagen geleden,2,10,GROEN
Vink Installatie Groep B.V.,"Roelofarendsveen, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Climat Systems Brabant,"Budel, Netherlands | Appliances, Electrical, and Electronics Manufacturing",5 maanden geleden,150,1,ROOD
PepsiCo,"Leicester, United Kingdom of Great Britain and Northern Ireland | Technology, Information and Internet",28 dagen geleden,28,3,ROOD
Duurzaam Opgewekt,"Geldermalsen, Netherlands",57 minuten geleden,0,10,GROEN
Sandee Groen,"Kamperland, Netherlands | Architecture and Planning",20 dagen geleden,20,4,ORANJE
WETEC,"Eindhoven, Netherlands | IT Services and IT Consulting",8 maanden geleden,240,1,ROOD
LOTEC B.V.,"Eindhoven, Netherlands | Industrial Machinery Manufacturing",9 maanden geleden,270,1,ROOD
Ebert HERA,"Baden-Baden, Germany | Oil and Gas",3 maanden geleden,90,1,ROOD
BEAK Holding,"Toftir, Faroe Islands | Real Estate",23 dagen geleden,23,3,ROOD
Acto Informatisering,"Amersfoort, Netherlands | IT Services and IT Consulting",6 maanden geleden,180,1,ROOD
DENIOS,"Alphen Aan Den Rijn, Netherlands | Environmental Services",21 dagen geleden,21,4,ORANJE
Installatieburo Eval,"Rosmalen, Netherlands | Construction",8 maanden geleden,240,1,ROOD
Kollect,"Waterford, Ireland | IT Services and IT Consulting",1 maand geleden,30,3,ROOD
ETB A.Hogenes B.V.,"Alphen aan den Rijn, Netherlands | Appliances, Electrical, and Electronics Manufacturing",16 dagen geleden,16,4,ORANJE
Get There,"Leek, Netherlands | IT Services and IT Consulting",9 dagen geleden,9,6,ORANJE
Brusche Elektrotechniek,"Almelo, Netherlands | Construction",8 uur geleden,0,10,GROEN
VHI Koudetechniek B.V.,"Uden, Netherlands | Industrial Machinery Manufacturing",4 maanden geleden,120,1,ROOD
Kemkens,"Oss, Netherlands | Oil and Gas",1 maand geleden,30,3,ROOD
Automatic Signal,"Rijsenhout, Netherlands | Security and Investigations",8 maanden geleden,240,1,ROOD
Roodenburg Installatie Bedrijf,"Krimpen aan den IJssel, Netherlands",1 dag geleden,1,10,GROEN
Warpnet,"Groningen, Netherlands | Computer and Network Security",7 maanden geleden,210,1,ROOD
Lindeloof B.V.,"Hellevoetsluis, Netherlands | Construction",1 jaar geleden,999,1,ROOD
Olof Schuur,"Zwolle, Netherlands | Industrial Machinery Manufacturing",7 maanden geleden,210,1,ROOD
Visser & Visser,"Barendrecht, Netherlands | Financial Services",7 maanden geleden,210,1,ROOD
Omnivent - Storage Made Easy,"Zeewolde, Netherlands | Industrial Machinery Manufacturing",4 maanden geleden,120,1,ROOD
Monkey Vision,"Nijmegen, Netherlands | Technology, Information and Internet",2 maanden geleden,60,1,ROOD
Ploeg kozijnen,"Nieuw-Vennep, Netherlands | Construction",21 dagen geleden,21,4,ORANJE
B2B Office Solutions,"Tallaght, Ireland | Retail Office Equipment",11 maanden geleden,330,1,ROOD
Van Delft Groep,"Nieuwkuijk, Netherlands | Construction",7 dagen geleden,7,8,GROEN
KPI Solutions,"Nijmegen, Netherlands | Transportation, Logistics, Supply Chain and Storage",2 maanden geleden,60,1,ROOD
Oegema Logistics+,"Dedemsvaart, Netherlands | Truck Transportation",6 maanden geleden,180,1,ROOD
NIBHV,"Rotterdam, Netherlands | Education Administration Programs",3 maanden geleden,90,1,ROOD
Van der Heijden bouw en ontwikkeling,"Schaijk, Netherlands",10 dagen geleden,10,6,ORANJE
Advanced Separation Company,"Diemen, Netherlands | Financial Services",11 maanden geleden,330,1,ROOD
Freelance.nl,"Rotterdam, Netherlands | Technology, Information and Internet",11 maanden geleden,330,1,ROOD
Enshore,"Groningen, Netherlands | IT Services and IT Consulting",2 maanden geleden,60,1,ROOD
Technoberg,"Purmerend, Netherlands | IT Services and IT Consulting",4 maanden geleden,120,1,ROOD
Modderkolk Projects & Maintenance BV,"Wijchen, Netherlands | Commercial and Industrial Machinery Maintenance",2 dagen geleden,2,10,GROEN
Bol Adviseurs,"Boxmeer, Netherlands | Financial Services",4 maanden geleden,120,1,ROOD
